date,time,category,replied
2018-03-18,17:52,work,no
2018-03-18,17:28,personal,no
2018-03-18,15:19,automated,no
2018-03-18,15:16,automated,no
2018-03-18,15:16,automated,no
2018-03-18,10:02,automated,no
2018-03-18,9:12,work,no
2018-03-18,9:01,automated,no
2018-03-18,0:16,automated,no
2018-03-17,19:41,automated,no
2018-03-17,18:55,automated,no
2018-03-17,18:54,automated,no
2018-03-17,17:25,automated,no
2018-03-17,7:42,automated,no
2018-03-16,23:42,automated,no
2018-03-16,17:27,automated,no
2018-03-16,16:08,automated,no
2018-03-16,16:02,automated,no
2018-03-16,13:05,automated,no
2018-03-16,12:56,automated,no
2018-03-16,12:18,automated,no
2018-03-16,12:00,work,no
2018-03-16,11:54,automated,no
2018-03-16,10:10,work,no
2018-03-15,21:38,automated,no
2018-03-15,20:26,work,no
2018-03-15,13:35,work,no
2018-03-15,13:11,work,no
2018-03-15,11:42,work,no
2018-03-15,11:30,automated,no
2018-03-15,9:57,automated,no
2018-03-15,9:47,automated,no
2018-03-14,22:45,automated,no
2018-03-14,20:40,work,no
2018-03-14,10:53,automated,no
2018-03-14,19:33,automated,no
2018-03-14,0:47,work,yes
2018-03-14,16:53,automated,no
2018-03-14,14:36,automated,no
2018-03-13,17:24,work,yes
2018-03-13,16:51,automated,no
2018-03-13,16:37,work,yes
2018-03-13,15:17,automated,no
2018-03-13,13:12,work,yes
2018-03-13,11:53,automated,no
2018-03-13,11:53,work,no
2018-03-13,8:53,automated,no
2018-03-13,0:32,automated,no
2018-03-12,21:30,automated,no
2018-03-12,8:39,automated,no
2018-03-12,3:23,automated,no
2018-03-12,20:18,personal,yes
